Test MSE,Train loss,Valid MSE,epoch,step
,,1.7192562818527222,0,24
,0.14967624843120575,,1,49
,,1.2644026279449463,1,49
,,1.0394560098648071,2,74
,0.28769564628601074,,3,99
,,2.916137456893921,3,99
,,1.0842492580413818,4,124
,0.4748844504356384,,5,149
,,0.8232466578483582,5,149
,,0.7943660020828247,6,174
,0.240205317735672,,7,199
,,0.7073039412498474,7,199
,,0.9094730019569397,8,224
,0.22217652201652527,,9,249
,,1.40329909324646,9,249
,,0.8968133330345154,10,274
,0.17252720892429352,,11,299
,,0.8742820024490356,11,299
,,0.6809096932411194,12,324
,0.1099281907081604,,13,349
,,0.5109624266624451,13,349
,,0.5961892604827881,14,374
,0.12278294563293457,,15,399
,,0.5053621530532837,15,399
,,0.7381808161735535,16,424
,0.20189028978347778,,17,449
,,0.5264560580253601,17,449
,,0.5147537589073181,18,474
,0.0702720358967781,,19,499
,,0.718940019607544,19,499
,,0.5944583415985107,20,524
,0.060355860739946365,,21,549
,,0.5465745329856873,21,549
,,0.5357041358947754,22,574
,0.10300538688898087,,23,599
,,0.4944388270378113,23,599
,,0.44494128227233887,24,624
,0.13294607400894165,,25,649
,,0.5943620800971985,25,649
,,0.46334338188171387,26,674
,0.2053486555814743,,27,699
,,0.406148225069046,27,699
,,0.48429372906684875,28,724
,0.1225162222981453,,29,749
,,0.44690248370170593,29,749
,,0.5189488530158997,30,774
,0.1158660352230072,,31,799
,,0.7624779343605042,31,799
,,0.6075133085250854,32,824
,0.03261159732937813,,33,849
,,0.41186147928237915,33,849
,,0.4464801847934723,34,874
,0.03723277896642685,,35,899
,,0.3653252422809601,35,899
,,0.4572998881340027,36,924
,0.05961604416370392,,37,949
,,0.4399651288986206,37,949
,,0.4330185353755951,38,974
,0.046636346727609634,,39,999
,,0.42171308398246765,39,999
,,0.4159514605998993,40,1024
,0.18582405149936676,,41,1049
,,0.43696314096450806,41,1049
,,0.5659133195877075,42,1074
,0.1206655502319336,,43,1099
,,0.5150873064994812,43,1099
,,0.4891214668750763,44,1124
,0.045599572360515594,,45,1149
,,0.4441380798816681,45,1149
,,0.33316561579704285,46,1174
,0.06664826720952988,,47,1199
,,0.42373013496398926,47,1199
,,0.3815702795982361,48,1224
,0.1225452870130539,,49,1249
,,0.3883588910102844,49,1249
,,0.43147847056388855,50,1274
,0.1957797259092331,,51,1299
,,0.43910402059555054,51,1299
,,0.6052185893058777,52,1324
,0.14454472064971924,,53,1349
,,0.3796480596065521,53,1349
,,0.39741218090057373,54,1374
,0.1577322632074356,,55,1399
,,0.4441657066345215,55,1399
,,0.37784120440483093,56,1424
,0.04373135790228844,,57,1449
,,0.39093348383903503,57,1449
,,0.3850589692592621,58,1474
,0.0811421200633049,,59,1499
,,0.4044947624206543,59,1499
0.4861016571521759,,,60,1500
