epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,14,,,0.7770509719848633,0.7770509719848633
0,14,0.9722480773925781,,,
1,29,,,0.7025707960128784,0.7025707960128784
1,29,0.8705092668533325,,,
2,44,,,0.5852211713790894,0.5852211713790894
2,44,0.746887743473053,,,
3,49,,0.7051033973693848,,
3,59,,,0.38894543051719666,0.38894543051719666
3,59,0.5741023421287537,,,
4,74,,,0.303237646818161,0.303237646818161
4,74,0.4173375964164734,,,
5,89,,,0.3455542027950287,0.3455542027950287
5,89,0.33769890666007996,,,
6,99,,0.293911337852478,,
6,104,,,0.24388062953948975,0.24388062953948975
6,104,0.3362691402435303,,,
7,119,,,0.2149241715669632,0.2149241715669632
7,119,0.2624375522136688,,,
8,134,,,0.20560181140899658,0.20560181140899658
8,134,0.21329157054424286,,,
9,149,,0.10316169261932373,,
9,149,,,0.19145941734313965,0.19145941734313965
9,149,0.2182597517967224,,,
10,164,,,0.21548090875148773,0.21548090875148773
10,164,0.18771028518676758,,,
11,179,,,0.16013047099113464,0.16013047099113464
11,179,0.17564472556114197,,,
12,194,,,0.16053703427314758,0.16053703427314758
12,194,0.16056759655475616,,,
13,199,,0.16865384578704834,,
13,209,,,0.14763449132442474,0.14763449132442474
13,209,0.154926598072052,,,
14,224,,,0.13368533551692963,0.13368533551692963
14,224,0.13480591773986816,,,
15,239,,,0.12696440517902374,0.12696440517902374
15,239,0.12369488179683685,,,
16,249,,0.08838557451963425,,
16,254,,,0.11650178581476212,0.11650178581476212
16,254,0.11798060685396194,,,
17,269,,,0.11523459106683731,0.11523459106683731
17,269,0.11753059178590775,,,
18,284,,,0.11506719142198563,0.11506719142198563
18,284,0.11370989680290222,,,
19,299,,0.08218465745449066,,
19,299,,,0.11456291377544403,0.11456291377544403
19,299,0.10165215283632278,,,
20,314,,,0.10644501447677612,0.10644501447677612
20,314,0.10309181362390518,,,
21,329,,,0.10553806275129318,0.10553806275129318
21,329,0.10012166202068329,,,
22,344,,,0.10639071464538574,0.10639071464538574
22,344,0.09897936880588531,,,
23,349,,0.08043643832206726,,
23,359,,,0.11452097445726395,0.11452097445726395
23,359,0.09353139996528625,,,
24,374,,,0.10238874703645706,0.10238874703645706
24,374,0.09627595543861389,,,
25,389,,,0.10330314189195633,0.10330314189195633
25,389,0.08866951614618301,,,
26,399,,0.09439924359321594,,
26,404,,,0.10086475312709808,0.10086475312709808
26,404,0.09475160390138626,,,
27,419,,,0.09551141411066055,0.09551141411066055
27,419,0.08826019614934921,,,
28,434,,,0.1031690388917923,0.1031690388917923
28,434,0.08853405714035034,,,
29,449,,0.11466819047927856,,
29,449,,,0.10385143756866455,0.10385143756866455
29,449,0.08694193512201309,,,
30,464,,,0.09018547087907791,0.09018547087907791
30,464,0.08308213204145432,,,
31,479,,,0.09661175310611725,0.09661175310611725
31,479,0.08344932645559311,,,
32,494,,,0.1006447896361351,0.1006447896361351
32,494,0.08546066284179688,,,
33,499,,0.10192304849624634,,
33,509,,,0.09302592277526855,0.09302592277526855
33,509,0.08322881907224655,,,
34,524,,,0.09964515268802643,0.09964515268802643
34,524,0.07923831045627594,,,
35,539,,,0.0882992371916771,0.0882992371916771
35,539,0.07913564890623093,,,
36,549,,0.06379415839910507,,
36,554,,,0.09030915051698685,0.09030915051698685
36,554,0.07548698782920837,,,
37,569,,,0.09175335615873337,0.09175335615873337
37,569,0.07365749031305313,,,
38,584,,,0.09404443204402924,0.09404443204402924
38,584,0.07414139807224274,,,
39,599,,0.02686615101993084,,
39,599,,,0.08959722518920898,0.08959722518920898
39,599,0.07267878204584122,,,
40,614,,,0.09270734339952469,0.09270734339952469
40,614,0.07152587175369263,,,
41,629,,,0.08689497411251068,0.08689497411251068
41,629,0.07402416318655014,,,
42,644,,,0.08741704374551773,0.08741704374551773
42,644,0.07272167503833771,,,
43,649,,0.06674511730670929,,
43,659,,,0.0867115929722786,0.0867115929722786
43,659,0.06989028304815292,,,
44,674,,,0.08647137135267258,0.08647137135267258
44,674,0.07112986594438553,,,
45,689,,,0.09008749574422836,0.09008749574422836
45,689,0.07059963792562485,,,
46,699,,0.09410366415977478,,
46,704,,,0.08862965553998947,0.08862965553998947
46,704,0.06955182552337646,,,
47,719,,,0.0879826694726944,0.0879826694726944
47,719,0.06947139650583267,,,
48,734,,,0.08675368130207062,0.08675368130207062
48,734,0.06782576441764832,,,
49,749,,0.13710930943489075,,
49,749,,,0.08628179132938385,0.08628179132938385
49,749,0.06705031543970108,,,
