L1,L2,L3,Charge,DOI,Partition Coef logP,Cell Lines ,Localisation,Incubation Time (hours),IC50 (μM)
C[N+](C)(CC1=CC(C2=CC(C[N+](C)(C)C)=CC=N2)=NC=C1)C,C[N+](C)(CC1=CC(C2=CC(C[N+](C)(C)C)=CC=N2)=NC=C1)C,C[N+](C)(CC1=CC(C2=CC(C[N+](C)(C)C)=CC=N2)=NC=C1)C,8,10.1002/anie.201507800,-3.54,HeLa,lysosom,4,470.00
CC[N+](CC)(CC1=CC=NC(C2=NC=CC(C[N+](CC)(CC)CC)=C2)=C1)CC,CC[N+](CC)(CC1=CC=NC(C2=NC=CC(C[N+](CC)(CC)CC)=C2)=C1)CC,CC[N+](CC)(CC1=CC=NC(C2=NC=CC(C[N+](CC)(CC)CC)=C2)=C1)CC,8,10.1002/anie.201507800,-3.05,HeLa,lysosom,4,425.00
CCCC[N+](CCCC)(CC1=CC(C2=CC(C[N+](CCCC)(CCCC)CCCC)=CC=N2)=NC=C1)CCCC,CCCC[N+](CCCC)(CC1=CC(C2=CC(C[N+](CCCC)(CCCC)CCCC)=CC=N2)=NC=C1)CCCC,CCCC[N+](CCCC)(CC1=CC(C2=CC(C[N+](CCCC)(CCCC)CCCC)=CC=N2)=NC=C1)CCCC,8,10.1002/anie.201507800,-1.55,HeLa,lysosom,4,301.00
C1(C2=CC=CC=C2)=CC=NC3=C1C=CC4=C(C5=CC=CC=C5)C=CN=C34,C1(C2=CC=CC=C2)=CC=NC3=C1C=CC4=C(C5=CC=CC=C5)C=CN=C34,CC1=CC=NC(C2=NC=CC(C(NCCCCCCN)=O)=C2)=C1,2,10.1002/anie.201916400,,HeLa,golgi apparatus,4,13.57
C1(C2=CC=CC=C2)=CC=NC3=C1C=CC4=C(C5=CC=CC=C5)C=CN=C34,C1(C2=CC=CC=C2)=CC=NC3=C1C=CC4=C(C5=CC=CC=C5)C=CN=C34,CC1=CC=NC(C2=NC=CC(C(NCCCCCCN)=O)=C2)=C1,2,10.1002/anie.201916400,,RPE-1,golgi apparatus,4,4.22
C1(C2=NC=CC=C2C=C3)=C3C=CC=N1,C1(C2=NC=CC=C2C=C3)=C3C=CC=N1,O=CC1=CC=NC(C2=NC=CC(C=O)=C2)=C1,2,10.1016/j.bmc.2019.05.011,,HeLa,,,>100
C1(C2=NC=CC=C2C=C3)=C3C=CC=N1,C1(C2=NC=CC=C2C=C3)=C3C=CC=N1,O=CC1=CC=NC(C2=NC=CC(C=O)=C2)=C1,2,10.1016/j.bmc.2019.05.011,,RPE-1,,,>100
C1(C2=NC=CC=C2C=C3)=C3C=CC=N1,C1(C2=NC=CC=C2C=C3)=C3C=CC=N1,C1(/C=N/CC2=CC=CC=C2)=CC=NC(C3=NC=CC(/C=N/CC4=CC=CC=C4)=C3)=C1,2,10.1016/j.bmc.2019.05.011,,HeLa,,,>100
C1(C2=NC=CC=C2C=C3)=C3C=CC=N1,C1(C2=NC=CC=C2C=C3)=C3C=CC=N1,C1(/C=N/CC2=CC=CC=C2)=CC=NC(C3=NC=CC(/C=N/CC4=CC=CC=C4)=C3)=C1,2,10.1016/j.bmc.2019.05.011,,RPE-1,,,>100
C1(C2=CC=CC=C2)=CC=NC3=C1C=CC4=C3N=CC=C4C5=CC=CC=C5,C1(C2=CC=CC=C2)=CC=NC3=C1C=CC4=C3N=CC=C4C5=CC=CC=C5,O=C1C([O-])=C(C)OC=C1,1,10.1002/chem.201904877,,HeLa,nucleus,48,>100
